Longitude,latitude,CNN,Street_name,ST_TYPE,NHOOD,CNNTEXT,shape,EndLongitude,EndLatitude
-122.4030282,37.78702442,164000,03RD,ST,Financial District South,164000,LINESTRING,-122.4025752,37.78667821
-122.3979429,37.7829979,171000,03RD,ST,Financial District South,171000,LINESTRING,-122.3973855,37.78255359
-122.3989303,37.78378493,170000,03RD,ST,Financial District South,170000,LINESTRING,-122.3979429,37.7829979
-122.3963795,37.78175028,174000,03RD,ST,Financial District South,174000,LINESTRING,-122.3958435,37.78132126
-122.4004685,37.78503028,168000,03RD,ST,Financial District South,168000,LINESTRING,-122.3994598,37.78421364
-122.3958435,37.78132126,175000,03RD,ST,Financial District South,175000,LINESTRING,-122.3955178,37.78106214
-122.3973855,37.78255359,172000,03RD,ST,Financial District South,172000,LINESTRING,-122.3968414,37.78211912
-122.3968414,37.78211912,173000,03RD,ST,Financial District South,173000,LINESTRING,-122.3963795,37.78175028
-122.3994598,37.78421364,169000,03RD,ST,Financial District South,169000,LINESTRING,-122.3989303,37.78378493
-122.4020254,37.78624815,166000,03RD,ST,Financial District South,166000,LINESTRING,-122.4014898,37.78582921
-122.3955178,37.78106214,176000,03RD,ST,Financial District South,176000,LINESTRING,-122.395065,37.78070056
-122.3946315,37.78035439,178000,03RD,ST,Financial District South,178000,LINESTRING,-122.3943,37.78008973
-122.4034308,37.78764185,163000,03RD,ST,Financial District South,163000,LINESTRING,-122.4033426,37.78727463
-122.4025752,37.78667821,165000,03RD,ST,Financial District South,165000,LINESTRING,-122.4020254,37.78624815
-122.395065,37.78070056,177000,03RD,ST,Financial District South,177000,LINESTRING,-122.3946315,37.78035439
-122.4014898,37.78582921,167000,03RD,ST,Financial District South,167000,LINESTRING,-122.4004685,37.78503028
-122.4042669,37.78447874,252000,04TH,ST,Financial District South,252000,LINESTRING,-122.4037118,37.78404444
-122.4047951,37.7849083,251000,04TH,ST,Financial District South,251000,LINESTRING,-122.4042669,37.78447874
-122.405831,37.78574399,249000,04TH,ST,Financial District South,249000,LINESTRING,-122.4052357,37.7852651
-122.4037118,37.78404444,253000,04TH,ST,Financial District South,253000,LINESTRING,-122.4027082,37.78325924
-122.4027082,37.78325924,254000,04TH,ST,Financial District South,254000,LINESTRING,-122.4016962,37.78245274
-122.4016962,37.78245274,255000,04TH,ST,Financial District South,255000,LINESTRING,-122.4011597,37.78202427
-122.4006131,37.78158767,257000,04TH,ST,Financial District South,257000,LINESTRING,-122.4001496,37.78121752
-122.4001496,37.78121752,258000,04TH,ST,Financial District South,258000,LINESTRING,-122.3996162,37.78079148
-122.3990796,37.78036289,260000,04TH,ST,Financial District South,260000,LINESTRING,-122.3985995,37.7799794
-122.3985995,37.7799794,261000,04TH,ST,Financial District South,261000,LINESTRING,-122.3980599,37.77956691
-122.3975389,37.77913222,263000,04TH,ST,Financial District South,263000,LINESTRING,-122.3970617,37.77875105
-122.3970617,37.77875105,264000,04TH,ST,Financial District South,264000,LINESTRING,-122.3965306,37.77832683
-122.4052357,37.7852651,250000,04TH,ST,Financial District South,250000,LINESTRING,-122.4047951,37.7849083
-122.4011597,37.78202427,256000,04TH,ST,Financial District South,256000,LINESTRING,-122.4006131,37.78158767
-122.3980599,37.77956691,262000,04TH,ST,Financial District South,262000,LINESTRING,-122.3975389,37.77913222
-122.3996162,37.78079148,259000,04TH,ST,Financial District South,259000,LINESTRING,-122.3990796,37.78036289
-122.475902,37.74678204,919101,19TH,AVE,Inner Parkside,919101,LINESTRING,-122.4758373,37.74667469
-122.4773084,37.76544799,909201,19TH,AVE,Central Sunset,909201,LINESTRING,-122.4773653,37.76531506
-122.4760331,37.74864751,918201,19TH,AVE,Parkside,918201,LINESTRING,-122.4760873,37.74853672
-122.4760331,37.74864751,918101,19TH,AVE,Inner Parkside,918101,LINESTRING,-122.4759617,37.74854202
-122.4761632,37.75051228,917201,19TH,AVE,Parkside,917201,LINESTRING,-122.476216,37.750399
-122.4757732,37.74491872,920101,19TH,AVE,Inner Parkside,920101,LINESTRING,-122.4757072,37.74481161
-122.475902,37.74678204,919201,19TH,AVE,Parkside,919201,LINESTRING,-122.4759541,37.74666955
-122.4757732,37.74491872,920201,19TH,AVE,Parkside,920201,LINESTRING,-122.475824,37.74480645
-122.4764235,37.75424219,915201,19TH,AVE,Central Sunset,915201,LINESTRING,-122.4764798,37.75412936
-122.4771741,37.7635595,910101,19TH,AVE,Inner Sunset,910101,LINESTRING,-122.477101,37.76345536
-122.4770109,37.76169937,911201,19TH,AVE,Central Sunset,911201,LINESTRING,-122.477072,37.7615783
-122.4773084,37.76544799,909101,19TH,AVE,Inner Sunset,909101,LINESTRING,-122.4772409,37.76532056
-122.4766842,37.75796898,913101,19TH,AVE,Inner Sunset,913101,LINESTRING,-122.4766007,37.75790873
-122.4761632,37.75051228,917101,19TH,AVE,Inner Parkside,917101,LINESTRING,-122.4760922,37.75040421
-122.4762922,37.7523786,916201,19TH,AVE,Parkside,916201,LINESTRING,-122.4763432,37.75226301
-122.4762922,37.7523786,916101,19TH,AVE,Inner Parkside,916101,LINESTRING,-122.4762233,37.75226689
-122.4764235,37.75424219,915101,19TH,AVE,Inner Sunset,915101,LINESTRING,-122.4763518,37.75413443
-122.4765543,37.75611022,914201,19TH,AVE,Central Sunset,914201,LINESTRING,-122.4766143,37.75604607
-122.4765543,37.75611022,914101,19TH,AVE,Inner Sunset,914101,LINESTRING,-122.4764863,37.75605012
-122.4766842,37.75796898,913201,19TH,AVE,Central Sunset,913201,LINESTRING,-122.4767499,37.75790362
-122.4768139,37.75983394,912201,19TH,AVE,Central Sunset,912201,LINESTRING,-122.4768809,37.75972185
-122.4768139,37.75983394,912101,19TH,AVE,Inner Sunset,912101,LINESTRING,-122.4767334,37.75972863
-122.4770109,37.76169937,911101,19TH,AVE,Inner Sunset,911101,LINESTRING,-122.476925,37.76158366
-122.4771741,37.7635595,910201,19TH,AVE,Central Sunset,910201,LINESTRING,-122.4772312,37.76344963
-122.4383939,37.78639168,3456000,BUSH,ST,Lower Pacfic Heights,3456000,LINESTRING,-122.4400612,37.78617958
-122.4153719,37.78931985,3441000,BUSH,ST,Downtown - Tenderloin,3441000,LINESTRING,-122.4170169,37.78911018
-122.4318132,37.78723088,3451000,BUSH,ST,Lower Pacfic Heights,3451000,LINESTRING,-122.432386,37.78715776
-122.4301684,37.78744083,3450000,BUSH,ST,Lower Pacfic Heights,3450000,LINESTRING,-122.4318132,37.78723088
-122.428525,37.78765056,3449000,BUSH,ST,Lower Pacfic Heights,3449000,LINESTRING,-122.4301684,37.78744083
-122.4252365,37.78807019,3447000,BUSH,ST,Lower Pacfic Heights,3447000,LINESTRING,-122.4268646,37.78786244
-122.4235941,37.78827973,3446000,BUSH,ST,Van Ness - Civic Center,3446000,LINESTRING,-122.4252365,37.78807019
-122.4137284,37.78952932,3440000,BUSH,ST,Downtown - Tenderloin,3440000,LINESTRING,-122.4153719,37.78931985
-122.4219486,37.78848964,3445000,BUSH,ST,Van Ness - Civic Center,3445000,LINESTRING,-122.4235941,37.78827973
-122.4203069,37.78869905,3444000,BUSH,ST,Van Ness - Civic Center,3444000,LINESTRING,-122.4219486,37.78848964
-122.4186559,37.78890961,3443000,BUSH,ST,Downtown - Tenderloin,3443000,LINESTRING,-122.4203069,37.78869905
-122.4120759,37.78973991,3439000,BUSH,ST,Downtown - Tenderloin,3439000,LINESTRING,-122.4137284,37.78952932
-122.4104332,37.78995142,3438000,BUSH,ST,Downtown - Tenderloin,3438000,LINESTRING,-122.4120759,37.78973991
-122.4087861,37.7901595,3437000,BUSH,ST,Downtown - Tenderloin,3437000,LINESTRING,-122.4104332,37.78995142
-122.4078689,37.79027535,3435000,BUSH,ST,Downtown - Tenderloin,3435000,LINESTRING,-122.4079704,37.79026253
-122.4075005,37.79032189,3434000,BUSH,ST,Downtown - Tenderloin,3434000,LINESTRING,-122.4078689,37.79027535
-122.4071317,37.79036847,3433000,BUSH,ST,Downtown - Tenderloin,3433000,LINESTRING,-122.4075005,37.79032189
-122.4063309,37.79046961,3432000,BUSH,ST,Financial District North,3432000,LINESTRING,-122.4071317,37.79036847
-122.4047673,37.79066708,3430000,BUSH,ST,Financial District North,3430000,LINESTRING,-122.4055737,37.79056524
-122.4043999,37.79071348,3429000,BUSH,ST,Financial District North,3429000,LINESTRING,-122.4047673,37.79066708
-122.4043329,37.79072193,3428000,BUSH,ST,Financial District North,3428000,LINESTRING,-122.4043999,37.79071348
-122.4040307,37.7907601,3427000,BUSH,ST,Financial District North,3427000,LINESTRING,-122.4043329,37.79072193
-122.4036718,37.79080542,3426000,BUSH,ST,Financial District North,3426000,LINESTRING,-122.4040307,37.7907601
-122.4023804,37.79096861,3424000,BUSH,ST,Financial District North,3424000,LINESTRING,-122.4027241,37.79092508
-122.4433703,37.78575858,3459000,BUSH,ST,Lower Pacfic Heights,3459000,LINESTRING,-122.4450199,37.78554867
-122.4417263,37.78596775,3458000,BUSH,ST,Lower Pacfic Heights,3458000,LINESTRING,-122.4433703,37.78575858
-122.4400612,37.78617958,3457000,BUSH,ST,Lower Pacfic Heights,3457000,LINESTRING,-122.4417263,37.78596775
-122.4367466,37.78660104,3455000,BUSH,ST,Lower Pacfic Heights,3455000,LINESTRING,-122.4383939,37.78639168
-122.4334599,37.78702067,3453000,BUSH,ST,Lower Pacfic Heights,3453000,LINESTRING,-122.4351058,37.78681054
-122.432386,37.78715776,3452000,BUSH,ST,Lower Pacfic Heights,3452000,LINESTRING,-122.4334599,37.78702067
-122.4450199,37.78554867,3460000,BUSH,ST,Lower Pacfic Heights,3460000,LINESTRING,-122.4464217,37.78537026
-122.4027241,37.79092508,3425000,BUSH,ST,Financial District North,3425000,LINESTRING,-122.4036718,37.79080542
-122.4055737,37.79056524,3431000,BUSH,ST,Financial District North,3431000,LINESTRING,-122.4063309,37.79046961
-122.4079704,37.79026253,3436000,BUSH,ST,Downtown - Tenderloin,3436000,LINESTRING,-122.4087861,37.7901595
-122.4170169,37.78911018,3442000,BUSH,ST,Downtown - Tenderloin,3442000,LINESTRING,-122.4186559,37.78890961
-122.4268646,37.78786244,3448000,BUSH,ST,Lower Pacfic Heights,3448000,LINESTRING,-122.428525,37.78765056
-122.4351058,37.78681054,3454000,BUSH,ST,Lower Pacfic Heights,3454000,LINESTRING,-122.4367466,37.78660104
-122.4109537,37.80083298,4297000,COLUMBUS,AVE,North Beach,4297000,LINESTRING,-122.4113763,37.80112513
-122.4044122,37.7963021,4288000,COLUMBUS,AVE,Financial District North,4288000,LINESTRING,-122.4052884,37.79690906
-122.4078695,37.79869686,4294000,COLUMBUS,AVE,Telegraph Hill,4294000,LINESTRING,-122.4090144,37.79948982
-122.4129081,37.80218377,4300000,COLUMBUS,AVE,North Beach,4300000,LINESTRING,-122.4137188,37.8027432
-122.4172262,37.80516965,4306000,COLUMBUS,AVE,North Waterfront,4306000,LINESTRING,-122.4183807,37.80597737
-122.4102065,37.8003155,4296000,COLUMBUS,AVE,North Beach,4296000,LINESTRING,-122.4109537,37.80083298
-122.4040685,37.79606404,4287000,COLUMBUS,AVE,Financial District North,4287000,LINESTRING,-122.4044122,37.7963021
-122.4113763,37.80112513,4298000,COLUMBUS,AVE,North Beach,4298000,LINESTRING,-122.4125413,37.80193064
-122.4125413,37.80193064,4299000,COLUMBUS,AVE,North Beach,4299000,LINESTRING,-122.4129081,37.80218377
-122.4137188,37.8027432,4301000,COLUMBUS,AVE,North Beach,4301000,LINESTRING,-122.4148768,37.80354233
-122.4148768,37.80354233,4302000,COLUMBUS,AVE,North Beach,4302000,LINESTRING,-122.4154459,37.80393651
-122.4154459,37.80393651,4303000,COLUMBUS,AVE,North Beach,4303000,LINESTRING,-122.4160514,37.80435595
-122.4070829,37.79815206,4293000,COLUMBUS,AVE,Telegraph Hill,4293000,LINESTRING,-122.4078695,37.79869686
-122.4055129,37.79706459,4290000,COLUMBUS,AVE,Financial District North,4290000,LINESTRING,-122.4062264,37.79755881
-122.4062264,37.79755881,4291000,COLUMBUS,AVE,Financial District North,4291000,LINESTRING,-122.4066679,37.79786461
-122.4090144,37.79948982,4295000,COLUMBUS,AVE,North Beach,4295000,LINESTRING,-122.4102065,37.8003155
-122.4052884,37.79690906,4289000,COLUMBUS,AVE,Financial District North,4289000,LINESTRING,-122.4055129,37.79706459
-122.4160514,37.80435595,4304000,COLUMBUS,AVE,North Beach,4304000,LINESTRING,-122.4168183,37.80488716
-122.4168183,37.80488716,4305000,COLUMBUS,AVE,North Beach,4305000,LINESTRING,-122.4172262,37.80516965
-122.4033169,37.79553183,4286000,COLUMBUS,AVE,Financial District North,4286000,LINESTRING,-122.4040685,37.79606404
-122.4066679,37.79786461,4292000,COLUMBUS,AVE,Telegraph Hill,4292000,LINESTRING,-122.4070829,37.79815206
-122.4428461,37.79997798,4830000,DIVISADERO,ST,Marina,4830000,LINESTRING,-122.4430346,37.80090821
-122.4426479,37.79900005,4829000,DIVISADERO,ST,Marina,4829000,LINESTRING,-122.4428461,37.79997798
-122.4422793,37.79718119,4827000,DIVISADERO,ST,Cow Hollow,4827000,LINESTRING,-122.4424679,37.79811195
-122.4420904,37.79624912,4826000,DIVISADERO,ST,Cow Hollow,4826000,LINESTRING,-122.4422793,37.79718119
-122.4419022,37.79532061,4825000,DIVISADERO,ST,Pacific Heights,4825000,LINESTRING,-122.4420904,37.79624912
-122.4417128,37.79438558,4824000,DIVISADERO,ST,Pacific Heights,4824000,LINESTRING,-122.4419022,37.79532061
-122.4415205,37.79343659,4823000,DIVISADERO,ST,Pacific Heights,4823000,LINESTRING,-122.4417128,37.79438558
-122.4411546,37.79163084,4821000,DIVISADERO,ST,Pacific Heights,4821000,LINESTRING,-122.4413329,37.79251065
-122.4409844,37.79075546,4820000,DIVISADERO,ST,Pacific Heights,4820000,LINESTRING,-122.4411546,37.79163084
-122.4413329,37.79251065,4822000,DIVISADERO,ST,Pacific Heights,4822000,LINESTRING,-122.4415205,37.79343659
-122.4424679,37.79811195,4828000,DIVISADERO,ST,Cow Hollow,4828000,LINESTRING,-122.4426479,37.79900005
-122.4370456,37.77126742,4799201,DIVISADERO,ST,Hayes Valley,4799201,LINESTRING,-122.4370094,37.77134836
-122.4377987,37.77499195,4803101,DIVISADERO,ST,North Panhandle,4803101,LINESTRING,-122.437867,37.77506484
-122.4376106,37.77406165,4802201,DIVISADERO,ST,Alamo Square,4802201,LINESTRING,-122.4375811,37.77415186
-122.4387402,37.77965963,4808101,DIVISADERO,ST,Anza Vista,4808101,LINESTRING,-122.4388118,37.77973086
-122.4379898,37.77592541,4804201,DIVISADERO,ST,Alamo Square,4804201,LINESTRING,-122.4379518,37.77600919
-122.4436025,37.80370494,4834000,DIVISADERO,ST,Marina,4834000,LINESTRING,-122.443792,37.80463787
-122.4374229,37.77313349,4801101,DIVISADERO,ST,North Panhandle,4801101,LINESTRING,-122.437486,37.77321367
-122.4374229,37.77313349,4801201,DIVISADERO,ST,Alamo Square,4801201,LINESTRING,-122.4373896,37.77322922
-122.4376106,37.77406165,4802101,DIVISADERO,ST,North Panhandle,4802101,LINESTRING,-122.4376729,37.77413911
-122.4377987,37.77499195,4803201,DIVISADERO,ST,Alamo Square,4803201,LINESTRING,-122.4377693,37.77507929
-122.4379898,37.77592541,4804101,DIVISADERO,ST,North Panhandle,4804101,LINESTRING,-122.4380611,37.77599659
-122.438177,37.77685589,4805101,DIVISADERO,ST,North Panhandle,4805101,LINESTRING,-122.4382439,37.77692508
-122.438177,37.77685589,4805201,DIVISADERO,ST,Alamo Square,4805201,LINESTRING,-122.4381415,37.77694037
-122.4383655,37.77779419,4806101,DIVISADERO,ST,North Panhandle,4806101,LINESTRING,-122.4384341,37.77787666
-122.4383655,37.77779419,4806201,DIVISADERO,ST,Alamo Square,4806201,LINESTRING,-122.4383322,37.77789081
-122.4385523,37.77872411,4807101,DIVISADERO,ST,North Panhandle,4807101,LINESTRING,-122.4386212,37.77879957
-122.4385523,37.77872411,4807201,DIVISADERO,ST,Western Addition,4807201,LINESTRING,-122.4385169,37.77881077
-122.4387402,37.77965963,4808201,DIVISADERO,ST,Western Addition,4808201,LINESTRING,-122.4386976,37.77974274
-122.4389268,37.78058849,4809101,DIVISADERO,ST,Anza Vista,4809101,LINESTRING,-122.4389925,37.78065189
-122.4389268,37.78058849,4809201,DIVISADERO,ST,Western Addition,4809201,LINESTRING,-122.4388898,37.7806642
-122.4391139,37.78152035,4810101,DIVISADERO,ST,Anza Vista,4810101,LINESTRING,-122.4391778,37.78158298
-122.4391139,37.78152035,4810201,DIVISADERO,ST,Western Addition,4810201,LINESTRING,-122.4390771,37.78159784
-122.4394804,37.78330849,4812101,DIVISADERO,ST,Lower Pacfic Heights,4812101,LINESTRING,-122.4395445,37.78338263
-122.4396387,37.78384659,4812102,DIVISADERO,ST,Lower Pacfic Heights,4812102,LINESTRING,-122.4397127,37.78423068
-122.4394804,37.78330849,4812201,DIVISADERO,ST,Lower Pacfic Heights,4812201,LINESTRING,-122.4394505,37.78339829
-122.4396847,37.78431867,4813101,DIVISADERO,ST,Lower Pacfic Heights,4813101,LINESTRING,-122.4397477,37.78439406
-122.4398726,37.78524753,4814101,DIVISADERO,ST,Lower Pacfic Heights,4814101,LINESTRING,-122.4399337,37.78532982
-122.4398726,37.78524753,4814201,DIVISADERO,ST,Lower Pacfic Heights,4814201,LINESTRING,-122.4398465,37.78534146
-122.4400612,37.78617958,4815101,DIVISADERO,ST,Lower Pacfic Heights,4815101,LINESTRING,-122.4401208,37.78624385
-122.4400612,37.78617958,4815201,DIVISADERO,ST,Lower Pacfic Heights,4815201,LINESTRING,-122.4400294,37.78625908
-122.44025,37.78711246,4816101,DIVISADERO,ST,Lower Pacfic Heights,4816101,LINESTRING,-122.4403121,37.7871868
-122.4404401,37.78806717,4817101,DIVISADERO,ST,Pacific Heights,4817101,LINESTRING,-122.4405022,37.78814151
-122.4404401,37.78806717,4817201,DIVISADERO,ST,Pacific Heights,4817201,LINESTRING,-122.4404063,37.7881522
-122.4406236,37.78899526,4818101,DIVISADERO,ST,Pacific Heights,4818101,LINESTRING,-122.4406812,37.78906666
-122.4406236,37.78899526,4818201,DIVISADERO,ST,Pacific Heights,4818201,LINESTRING,-122.4405956,37.78907606
-122.4408056,37.7898723,4819000,DIVISADERO,ST,Pacific Heights,4819000,LINESTRING,-122.4409844,37.79075546
-122.4392976,37.78245048,4811201,DIVISADERO,ST,Western Addition,4811201,LINESTRING,-122.4392767,37.78253813
-122.4392976,37.78245048,4811101,DIVISADERO,ST,Anza Vista,4811101,LINESTRING,-122.4393699,37.782525
-122.4396847,37.78431867,4813201,DIVISADERO,ST,Lower Pacfic Heights,4813201,LINESTRING,-122.4396549,37.7844074
-122.44025,37.78711246,4816201,DIVISADERO,ST,Lower Pacfic Heights,4816201,LINESTRING,-122.4402161,37.78719749
-122.4372349,37.77220371,4800201,DIVISADERO,ST,Hayes Valley,4800201,LINESTRING,-122.4372034,37.77228604
-122.4372349,37.77220371,4800101,DIVISADERO,ST,Haight Ashbury,4800101,LINESTRING,-122.4372978,37.77227428
-122.4370456,37.77126742,4799101,DIVISADERO,ST,Haight Ashbury,4799101,LINESTRING,-122.4371039,37.7713351
-122.4368489,37.7703429,4798201,DIVISADERO,ST,Hayes Valley,4798201,LINESTRING,-122.4368259,37.77042518
-122.4368489,37.7703429,4798101,DIVISADERO,ST,Buena Vista Park,4798101,LINESTRING,-122.4369207,37.77041218
-122.443792,37.80463787,4835000,DIVISADERO,ST,Marina,4835000,LINESTRING,-122.4439835,37.80558114
-122.4434135,37.80277414,4833000,DIVISADERO,ST,Marina,4833000,LINESTRING,-122.4436025,37.80370494
-122.4432235,37.80183838,4832000,DIVISADERO,ST,Marina,4832000,LINESTRING,-122.4434135,37.80277414
-122.4430346,37.80090821,4831000,DIVISADERO,ST,Marina,4831000,LINESTRING,-122.4432235,37.80183838
-122.4326486,37.77469266,5448000,FELL,ST,Alamo Square,5448000,LINESTRING,-122.4342943,37.77447582
-122.4507867,37.77236766,5459000,FELL,ST,North Panhandle,5459000,LINESTRING,-122.4522422,37.77218057
-122.4491432,37.77257892,5458000,FELL,ST,North Panhandle,5458000,LINESTRING,-122.4507867,37.77236766
-122.4459024,37.77299541,5456000,FELL,ST,North Panhandle,5456000,LINESTRING,-122.4474972,37.77279045
